User_ID,Rating,Movie_ID
1868998,5,3
2538387,3,3
1114552,3,3
253900,5,3
1816177,5,3
2427438,4,3
163515,4,3
974525,3,3
1787324,5,3
1764923,4,3
1215094,4,3
2589029,3,3
344444,3,3
1301832,4,3
87664,3,3
1426472,4,3
1614939,3,3
2369855,4,3
522534,2,3
1262754,4,3
761585,4,3
1560333,4,3
1204995,3,3
364140,4,3
494633,4,3
1500112,4,3
1599561,4,3
1316434,4,3
1171843,5,3
234141,2,3
1668888,5,3
968745,3,3
1392235,4,3
745706,3,3
1674012,3,3
1076614,3,3
749164,4,3
2616210,2,3
307313,5,3
2496050,4,3
299857,3,3
919805,4,3
2053378,3,3
1774181,4,3
1533440,4,3
237824,3,3
1080789,3,3
2604320,5,3
81036,4,3
2163577,3,3
936199,3,3
747695,4,3
787391,4,3
2578149,3,3
2629551,5,3
313158,5,3
2641668,4,3
1917839,3,3
504296,3,3
2431172,5,3
1994646,4,3
173571,5,3
1080008,3,3
1085488,4,3
1731912,4,3
1527679,4,3
2311464,3,3
1394194,3,3
2430230,5,3
1529214,3,3
1031887,4,3
2354593,2,3
341649,3,3
595870,1,3
618288,5,3
592281,3,3
1174779,4,3
1813526,5,3
502145,4,3
1578883,5,3
1722588,5,3
2335640,3,3
1214640,3,3
1566551,4,3
718211,4,3
1139969,3,3
2464102,5,3
1800842,5,3
1321352,4,3
1591987,3,3
1830000,5,3
106442,2,3
285765,4,3
235124,4,3
2012052,5,3
2552319,3,3
2235548,2,3
634604,5,3
820357,5,3
657582,4,3
2334738,5,3
1053090,4,3
1606520,3,3
303270,2,3
470596,3,3
1969536,5,3
2588486,3,3
214262,3,3
701692,3,3
2054241,4,3
1973244,4,3
659526,4,3
2133574,3,3
1264021,4,3
831364,5,3
1254363,4,3
384821,4,3
2625327,3,3
821727,4,3
1591925,4,3
442911,3,3
2153128,3,3
2131774,2,3
1139925,5,3
91245,4,3
2089599,1,3
752702,1,3
86901,4,3
588344,5,3
1641505,4,3
1822357,3,3
1520904,4,3
2615224,3,3
2203182,3,3
1235651,2,3
2444204,4,3
254222,3,3
406219,3,3
1389295,4,3
2384389,4,3
1167852,5,3
2606799,2,3
1993442,5,3
1404431,3,3
407675,3,3
117878,4,3
723983,3,3
2296114,4,3
1984315,3,3
152441,4,3
2241241,3,3
1382951,4,3
401178,4,3
2307036,3,3
1147677,3,3
957368,4,3
1432211,3,3
966771,4,3
664705,5,3
341587,4,3
611883,4,3
1996328,5,3
1925306,4,3
896636,4,3
2213342,4,3
78684,3,3
2127544,4,3
759737,1,3
2635895,5,3
1955713,4,3
885932,4,3
1230729,4,3
404170,4,3
375046,1,3
184273,4,3
491513,4,3
414236,4,3
504624,4,3
789014,1,3
1685083,5,3
1353746,4,3
1964351,3,3
798296,4,3
586421,4,3
682963,3,3
1086213,4,3
545026,4,3
37939,2,3
1932915,3,3
1373119,4,3
2423552,3,3
16272,4,3
2194081,4,3
1880039,3,3
38129,5,3
114072,5,3
1235873,2,3
60973,4,3
762240,4,3
641785,3,3
